split,step,suite,horizon,episodes_per_task,seed,initial_state_start,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
screen,500,libero_10,25,5,17,20,25,50,50,26,0.52,0.38511744890044614,0.6520286471342196,17.9,438.28,448.28,0.040841471205621975,24.417376872611413,10.039037351757289,1.0,1.0,0.6,0.4,0.4,0.6,0.2,0.6,0.0,0.4
transfer,0,libero_spatial,5,3,17,20,5,50,30,30,1.0,0.8864866068260312,0.9999999999999999,23.1,113.33333333333333,123.33333333333333,0.2038235294117647,4.906131030745801,6.926532694666336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transfer,0,libero_spatial,20,3,17,20,20,50,30,13,0.43333333333333335,0.2737748557646652,0.6080269299918639,10.066666666666666,198.56666666666666,208.56666666666666,0.05069665939231156,19.696198893698895,6.885452148877084,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0
transfer,0,libero_object,5,3,17,20,5,50,30,27,0.9,0.7437891742081593,0.9654001112526658,34.46666666666667,170.16666666666666,180.16666666666666,0.20254652301665035,4.930968996007457,7.960244791768491,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
transfer,0,libero_object,20,3,17,20,20,50,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,12.166666666666666,237.23333333333332,247.23333333333332,0.051285654067725166,19.45554538054538,5.876109771616757,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0
transfer,0,libero_goal,5,3,17,20,5,50,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,24.333333333333332,119.76666666666667,129.76666666666668,0.20317283607013636,4.914916288057607,6.241700661865374,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
transfer,0,libero_goal,20,3,17,20,20,50,30,22,0.7333333333333333,0.555520383048111,0.8581733668040368,10.0,194.13333333333333,204.13333333333333,0.05151098901098901,19.24482202982203,5.662103655437629,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666
transfer,100,libero_spatial,20,3,17,20,20,50,30,21,0.7,0.5212421254128504,0.8333525173175619,9.6,185.46666666666667,195.46666666666667,0.05176132278936017,19.246784511784515,6.6364547129099565,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,1.0,0.3333333333333333
transfer,100,libero_object,20,3,17,20,20,50,30,19,0.6333333333333333,0.4551356365479487,0.7812607919389929,12.033333333333333,234.23333333333332,244.23333333333332,0.051373274512594276,19.3893820993821,6.025956269384673,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666
transfer,100,libero_goal,20,3,17,20,20,50,30,25,0.8333333333333334,0.6643564949358398,0.9266345762815145,9.066666666666666,173.6,183.6,0.05222734254992319,19.00562049062049,5.418899506299446,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666
transfer,500,libero_spatial,20,3,17,20,20,50,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,7.733333333333333,148.2,158.2,0.05218173639226271,19.093822751322747,5.582677975731591,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
transfer,500,libero_object,20,3,17,20,20,50,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,9.4,180.26666666666668,190.26666666666668,0.052144970414201186,19.134456839456846,4.742013292852789,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
transfer,500,libero_goal,20,3,17,20,20,50,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,8.7,166.83333333333334,176.83333333333334,0.05214785214785215,19.10450345950346,4.965923324444642,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
confirmation,0,libero_10,5,10,27,30,5,50,100,93,0.93,0.8625048526092651,0.9656807389327273,59.56,296.04,306.04,0.20118902850966086,4.967314768439397,14.261585489520803,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.6,0.9
confirmation,0,libero_10,20,10,27,30,20,50,100,49,0.49,0.3942199893044113,0.5865198806597283,22.53,445.68,455.68,0.05055196553581045,19.713010006492294,10.654146700007841,0.4,0.3,0.4,0.9,0.3,0.9,0.3,1.0,0.4,0.0
confirmation,100,libero_10,20,10,27,30,20,50,100,50,0.5,0.4038315303659956,0.5961684696340044,21.95,433.13,443.13,0.05067762565511509,19.66262039040774,10.266583538111298,0.4,0.7,0.2,0.9,0.5,0.8,0.2,1.0,0.1,0.2
confirmation,500,libero_10,20,10,27,30,20,50,100,72,0.72,0.6251197129007884,0.7986031478881379,18.86,370.06,380.06,0.050964708425660706,19.543033520177048,8.978622618773953,1.0,0.9,0.9,0.8,0.8,0.7,0.1,1.0,0.1,0.9
