comparison,split,suite,left_step,left_H,right_step,right_H,family,left_calls_per_episode,right_calls_per_episode,left_calls_per_controlled_step,right_calls_per_controlled_step,relative_right_calls_saved,relative_right_call_density_saved,episodes,left_success_rate,right_success_rate,success_change,ci95_low,ci95_high,recovered_episodes,regressed_episodes,p_exact,p_holm
training_benefit,screen,libero_10,500,15,0,15,secondary,21.6,23.66,0.06801435858681278,0.06773159280888584,-0.09537037037037033,0.004157442396020228,50,0.84,0.8,0.04,-0.08,0.16,7,5,0.7744140625,1.0
more_updates,screen,libero_10,500,15,100,15,secondary,21.6,22.8,0.06801435858681278,0.06781274165724822,-0.05555555555555558,0.002964328911625458,50,0.84,0.78,0.06,-0.02,0.16,5,2,0.453125,1.0
training_benefit,screen,libero_10,500,20,0,20,secondary,18.22,21.44,0.051110861759425495,0.05054934691375489,-0.17672886937431387,0.010986213621550833,50,0.78,0.54,0.24,0.1,0.36,16,4,0.01181793212890625,0.2127227783203125
more_updates,screen,libero_10,500,20,100,20,secondary,18.22,22.0,0.051110861759425495,0.05062359059321644,-0.20746432491767286,0.009533612806268077,50,0.78,0.52,0.26,0.12,0.4,15,2,0.002349853515625,0.0469970703125
training_benefit,screen,libero_10,500,25,0,25,secondary,17.9,19.86,0.040841471205621975,0.04054716210698244,-0.10949720670391061,0.0072061336174154,50,0.52,0.24,0.28,0.12,0.44,21,7,0.012540951371192932,0.21319617331027985
more_updates,screen,libero_10,500,25,100,25,secondary,17.9,19.62,0.040841471205621975,0.040602624063573525,-0.09608938547486034,0.005848152257932671,50,0.52,0.3,0.22,0.06,0.38,18,7,0.043285250663757324,0.5627082586288452
replanning_gap,transfer,libero_goal,0,5,0,20,frequency,24.333333333333332,10.0,0.20317283607013636,0.05151098901098901,0.589041095890411,0.7464671458678308,30,0.9666666666666667,0.7333333333333333,0.23333333333333334,0.1,0.36666666666666664,7,0,0.015625,0.046875
training_benefit,transfer,libero_goal,100,20,0,20,secondary,9.066666666666666,10.0,0.05222734254992319,0.05151098901098901,-0.10294117647058831,0.013716063348416352,30,0.8333333333333334,0.7333333333333333,0.1,-0.06666666666666667,0.26666666666666666,6,3,0.5078125,1.0
training_benefit,transfer,libero_goal,500,20,0,20,secondary,8.7,10.0,0.05214785214785215,0.05151098901098901,-0.14942528735632177,0.012212643678160995,30,0.9333333333333333,0.7333333333333333,0.2,0.06666666666666667,0.3333333333333333,7,1,0.0703125,0.84375
more_updates,transfer,libero_goal,500,20,100,20,secondary,8.7,9.066666666666666,0.05214785214785215,0.05222734254992319,-0.04214559386973171,-0.0015243274420138064,30,0.9333333333333333,0.8333333333333334,0.1,-0.03333333333333333,0.2,4,1,0.375,1.0
replanning_gap,transfer,libero_object,0,5,0,20,frequency,34.46666666666667,12.166666666666666,0.20254652301665035,0.051285654067725166,0.6470019342359767,0.7467956827700803,30,0.9,0.6666666666666666,0.23333333333333334,0.1,0.36666666666666664,8,1,0.0390625,0.078125
training_benefit,transfer,libero_object,100,20,0,20,secondary,12.033333333333333,12.166666666666666,0.051373274512594276,0.051285654067725166,-0.011080332409972193,0.0017055647260255657,30,0.6333333333333333,0.6666666666666666,-0.03333333333333333,-0.2,0.13333333333333333,4,5,1.0,1.0
training_benefit,transfer,libero_object,500,20,0,20,secondary,9.4,12.166666666666666,0.052144970414201186,0.051285654067725166,-0.2943262411347518,0.01647937163738411,30,0.9333333333333333,0.6666666666666666,0.26666666666666666,0.1,0.43333333333333335,9,1,0.021484375,0.322265625
more_updates,transfer,libero_object,500,20,100,20,secondary,9.4,12.033333333333333,0.052144970414201186,0.051373274512594276,-0.2801418439716312,0.014799047645000618,30,0.9333333333333333,0.6333333333333333,0.3,0.2,0.43333333333333335,9,0,0.00390625,0.07421875
replanning_gap,transfer,libero_spatial,0,5,0,20,frequency,23.1,10.066666666666666,0.2038235294117647,0.05069665939231156,0.5642135642135642,0.751271800961242,30,1.0,0.43333333333333335,0.5666666666666667,0.43333333333333335,0.7,17,0,1.52587890625e-05,7.62939453125e-05
training_benefit,transfer,libero_spatial,100,20,0,20,secondary,9.6,10.066666666666666,0.05176132278936017,0.05069665939231156,-0.04861111111111116,0.020568705351314165,30,0.7,0.43333333333333335,0.26666666666666666,0.1,0.43333333333333335,10,2,0.03857421875,0.5400390625
training_benefit,transfer,libero_spatial,500,20,0,20,secondary,7.733333333333333,10.066666666666666,0.05218173639226271,0.05069665939231156,-0.3017241379310345,0.028459708369753423,30,0.8666666666666667,0.43333333333333335,0.43333333333333335,0.26666666666666666,0.6,14,1,0.0009765625,0.0205078125
more_updates,transfer,libero_spatial,500,20,100,20,secondary,7.733333333333333,9.6,0.05218173639226271,0.05176132278936017,-0.24137931034482762,0.008056719303899396,30,0.8666666666666667,0.7,0.16666666666666666,0.0,0.3333333333333333,8,3,0.2265625,1.0
