condition,task_id,episode_index,initial_state_index,success,executed_actions,policy_calls
OPSD 500 H20 historical,5,8,38,True,196,10
OPSD 500 H20 historical,5,9,39,True,208,11
OPSD 500 H20 historical,6,0,30,False,520,26
OPSD 500 H20 historical,6,1,31,False,520,26
OPSD 500 H20 historical,6,2,32,False,520,26
OPSD 500 H20 historical,6,3,33,False,520,26
OPSD 500 H20 historical,6,4,34,True,476,24
OPSD 500 H20 historical,6,5,35,False,520,26
OPSD 500 H20 historical,6,6,36,False,520,26
OPSD 500 H20 historical,6,7,37,False,520,26
OPSD 500 H20 historical,6,8,38,False,520,26
OPSD 500 H20 historical,6,9,39,False,520,26
OPSD 500 H20 historical,7,0,30,True,312,16
OPSD 500 H20 historical,7,1,31,True,515,26
OPSD 500 H20 historical,7,2,32,True,386,20
OPSD 500 H20 historical,7,3,33,True,348,18
OPSD 500 H20 historical,7,4,34,True,327,17
OPSD 500 H20 historical,7,5,35,True,328,17
OPSD 500 H20 historical,7,6,36,True,287,15
OPSD 500 H20 historical,7,7,37,True,387,20
OPSD 500 H20 historical,7,8,38,True,324,17
OPSD 500 H20 historical,7,9,39,True,288,15
OPSD 500 H20 historical,8,0,30,False,520,26
OPSD 500 H20 historical,8,1,31,False,520,26
OPSD 500 H20 historical,8,2,32,False,520,26
OPSD 500 H20 historical,8,3,33,False,520,26
OPSD 500 H20 historical,8,4,34,False,520,26
OPSD 500 H20 historical,8,5,35,False,520,26
OPSD 500 H20 historical,8,6,36,False,520,26
OPSD 500 H20 historical,8,7,37,False,520,26
OPSD 500 H20 historical,8,8,38,True,479,24
OPSD 500 H20 historical,8,9,39,False,520,26
OPSD 500 H20 historical,9,0,30,True,442,23
OPSD 500 H20 historical,9,1,31,True,266,14
OPSD 500 H20 historical,9,2,32,True,310,16
OPSD 500 H20 historical,9,3,33,True,295,15
OPSD 500 H20 historical,9,4,34,True,296,15
OPSD 500 H20 historical,9,5,35,True,319,16
OPSD 500 H20 historical,9,6,36,True,322,17
OPSD 500 H20 historical,9,7,37,True,465,24
OPSD 500 H20 historical,9,8,38,False,520,26
OPSD 500 H20 historical,9,9,39,True,271,14
OPSD 500 H20 current,0,0,30,True,424,22
OPSD 500 H20 current,0,1,31,True,308,16
OPSD 500 H20 current,0,2,32,True,401,21
OPSD 500 H20 current,0,3,33,True,288,15
OPSD 500 H20 current,0,4,34,True,388,20
OPSD 500 H20 current,0,5,35,True,314,16
OPSD 500 H20 current,0,6,36,True,330,17
OPSD 500 H20 current,0,7,37,True,399,20
OPSD 500 H20 current,0,8,38,True,313,16
OPSD 500 H20 current,0,9,39,True,328,17
OPSD 500 H20 current,1,0,30,True,299,15
OPSD 500 H20 current,1,1,31,True,319,16
OPSD 500 H20 current,1,2,32,True,281,15
OPSD 500 H20 current,1,3,33,True,298,15
OPSD 500 H20 current,1,4,34,False,520,26
OPSD 500 H20 current,1,5,35,True,310,16
OPSD 500 H20 current,1,6,36,True,313,16
OPSD 500 H20 current,1,7,37,True,273,14
OPSD 500 H20 current,1,8,38,True,273,14
OPSD 500 H20 current,1,9,39,True,329,17
OPSD 500 H20 current,2,0,30,False,520,26
OPSD 500 H20 current,2,1,31,False,520,26
OPSD 500 H20 current,2,2,32,True,266,14
OPSD 500 H20 current,2,3,33,True,285,15
OPSD 500 H20 current,2,4,34,True,285,15
OPSD 500 H20 current,2,5,35,True,292,15
OPSD 500 H20 current,2,6,36,True,280,14
OPSD 500 H20 current,2,7,37,False,520,26
OPSD 500 H20 current,2,8,38,True,270,14
OPSD 500 H20 current,2,9,39,True,282,15
OPSD 500 H20 current,3,0,30,True,239,12
OPSD 500 H20 current,3,1,31,True,279,14
OPSD 500 H20 current,3,2,32,True,277,14
OPSD 500 H20 current,3,3,33,True,266,14
OPSD 500 H20 current,3,4,34,True,324,17
OPSD 500 H20 current,3,5,35,True,316,16
OPSD 500 H20 current,3,6,36,True,265,14
OPSD 500 H20 current,3,7,37,True,269,14
OPSD 500 H20 current,3,8,38,True,290,15
OPSD 500 H20 current,3,9,39,True,261,14
OPSD 500 H20 current,4,0,30,True,293,15
OPSD 500 H20 current,4,1,31,False,520,26
OPSD 500 H20 current,4,2,32,False,520,26
OPSD 500 H20 current,4,3,33,True,332,17
OPSD 500 H20 current,4,4,34,True,321,17
OPSD 500 H20 current,4,5,35,True,272,14
OPSD 500 H20 current,4,6,36,True,326,17
OPSD 500 H20 current,4,7,37,False,520,26
OPSD 500 H20 current,4,8,38,True,350,18
OPSD 500 H20 current,4,9,39,True,319,16
OPSD 500 H20 current,5,0,30,True,195,10
OPSD 500 H20 current,5,1,31,True,211,11
OPSD 500 H20 current,5,2,32,True,205,11
OPSD 500 H20 current,5,3,33,False,520,26
OPSD 500 H20 current,5,4,34,True,237,12
OPSD 500 H20 current,5,5,35,True,306,16
OPSD 500 H20 current,5,6,36,True,228,12
OPSD 500 H20 current,5,7,37,True,201,11
OPSD 500 H20 current,5,8,38,True,317,16
OPSD 500 H20 current,5,9,39,True,287,15
OPSD 500 H20 current,6,0,30,False,520,26
OPSD 500 H20 current,6,1,31,False,520,26
OPSD 500 H20 current,6,2,32,False,520,26
OPSD 500 H20 current,6,3,33,False,520,26
OPSD 500 H20 current,6,4,34,True,391,20
OPSD 500 H20 current,6,5,35,False,520,26
OPSD 500 H20 current,6,6,36,False,520,26
OPSD 500 H20 current,6,7,37,False,520,26
OPSD 500 H20 current,6,8,38,False,520,26
OPSD 500 H20 current,6,9,39,False,520,26
OPSD 500 H20 current,7,0,30,True,330,17
OPSD 500 H20 current,7,1,31,True,348,18
OPSD 500 H20 current,7,2,32,True,304,16
OPSD 500 H20 current,7,3,33,True,342,18
OPSD 500 H20 current,7,4,34,True,354,18
OPSD 500 H20 current,7,5,35,True,337,17
OPSD 500 H20 current,7,6,36,True,307,16
OPSD 500 H20 current,7,7,37,True,387,20
OPSD 500 H20 current,7,8,38,True,308,16
OPSD 500 H20 current,7,9,39,True,287,15
OPSD 500 H20 current,8,0,30,False,520,26
OPSD 500 H20 current,8,1,31,True,451,23
OPSD 500 H20 current,8,2,32,True,477,24
OPSD 500 H20 current,8,3,33,False,520,26
OPSD 500 H20 current,8,4,34,False,520,26
OPSD 500 H20 current,8,5,35,False,520,26
OPSD 500 H20 current,8,6,36,False,520,26
OPSD 500 H20 current,8,7,37,False,520,26
OPSD 500 H20 current,8,8,38,True,450,23
OPSD 500 H20 current,8,9,39,False,520,26
OPSD 500 H20 current,9,0,30,False,520,26
OPSD 500 H20 current,9,1,31,True,270,14
OPSD 500 H20 current,9,2,32,True,299,15
OPSD 500 H20 current,9,3,33,True,281,15
OPSD 500 H20 current,9,4,34,True,316,16
OPSD 500 H20 current,9,5,35,True,337,17
OPSD 500 H20 current,9,6,36,True,339,17
OPSD 500 H20 current,9,7,37,True,342,18
OPSD 500 H20 current,9,8,38,True,317,16
OPSD 500 H20 current,9,9,39,True,267,14
OPSD 1000 H20 current,0,0,30,True,278,14
OPSD 1000 H20 current,0,1,31,True,300,15
OPSD 1000 H20 current,0,2,32,True,296,15
OPSD 1000 H20 current,0,3,33,True,268,14
OPSD 1000 H20 current,0,4,34,True,269,14
OPSD 1000 H20 current,0,5,35,True,309,16
OPSD 1000 H20 current,0,6,36,True,291,15
OPSD 1000 H20 current,0,7,37,True,275,14
OPSD 1000 H20 current,0,8,38,True,344,18
OPSD 1000 H20 current,0,9,39,True,288,15
OPSD 1000 H20 current,1,0,30,True,268,14
OPSD 1000 H20 current,1,1,31,True,271,14
OPSD 1000 H20 current,1,2,32,True,259,13
OPSD 1000 H20 current,1,3,33,True,274,14
OPSD 1000 H20 current,1,4,34,True,314,16
OPSD 1000 H20 current,1,5,35,True,278,14
OPSD 1000 H20 current,1,6,36,True,286,15
OPSD 1000 H20 current,1,7,37,True,268,14
OPSD 1000 H20 current,1,8,38,True,288,15
OPSD 1000 H20 current,1,9,39,True,311,16
OPSD 1000 H20 current,2,0,30,True,267,14
OPSD 1000 H20 current,2,1,31,True,249,13
OPSD 1000 H20 current,2,2,32,True,242,13
OPSD 1000 H20 current,2,3,33,True,247,13
OPSD 1000 H20 current,2,4,34,True,276,14
