task_id,horizon,step,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
3,20,500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.1,251.0,261.0,0.052191235059760956,19.178846153846155,6.372356726008002,251.0,13.1,6.372356726008002
4,20,500,20,50,10,6,0.6,0.31267376973365824,0.8318196702937638,18.8,372.2,382.2,0.05051047823750672,19.733333333333338,9.715573260327801,273.6666666666667,14.0,7.66285782136644
5,20,500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,12.3,238.0,248.0,0.05168067226890756,19.321984126984127,5.349116812611465,238.0,12.3,5.349116812611465
6,20,500,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,18.7,370.7,380.7,0.050445103857566766,19.79086478738653,8.991513965593185,333.375,16.875,8.199159743482596
7,20,500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,15.8,304.3,314.3,0.05192244495563589,19.23544372294372,7.308384690794628,304.3,15.8,7.308384690794628
8,20,500,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,23.2,456.0,466.0,0.05087719298245614,19.646121631991196,9.87862618030049,440.0,22.5,9.486208798000007
9,20,500,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,17.5,342.0,352.0,0.05116959064327485,19.47280849181778,7.242822479689494,297.5,15.375,6.404163930492359
0,20,1000,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,16.8,329.9,339.9,0.05092452258260079,19.620808823529412,9.07849147937959,308.77777777777777,15.777777777777779,8.601975885543247
1,20,1000,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,14.2,273.2,283.2,0.05197657393850659,19.240476190476194,7.600929053395521,273.2,14.2,7.600929053395521
2,20,1000,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,15.4,297.5,307.5,0.05176470588235294,19.253389355742296,7.314936285698787,272.77777777777777,14.222222222222221,6.802301978330231
